,param_name,mean,std,2.5q,25q,50q,75q,97.5q,mc err,sub,model_ID
1948,BIC,480.3934096375805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,4
1949,a,0.8063658460294544,0.0322007793040007,0.7473987266634642,0.7839056406069302,0.8051751182985334,0.8273466131456471,0.8726060497747483,0.0005965453278886,6,4
1950,z,0.5109507769860726,0.0214139958720058,0.4705220137204351,0.4961693678750101,0.5104335525613215,0.5253241091154084,0.5540006986945851,0.000548078886312,6,4
1951,t,0.746963820578377,0.0124220666421745,0.7196311768690392,0.7394278565333022,0.7478479493561978,0.7556183164302546,0.7690146027468334,0.0002194180485117,6,4
1952,v_Intercept,0.4267489832363719,0.4041798962803423,-0.4660398331484895,0.1715929760697578,0.4447348077816814,0.6768994821515751,1.1841103818260617,0.0365642738240184,6,4
1953,v_gain,0.1667596253327793,0.016044352570119,0.1366179232178767,0.1557661033300827,0.1666839723067531,0.1767753813218054,0.1996413794040817,0.0011969047135941,6,4
1954,v_loss,-0.2103415375237284,0.0173109368540419,-0.2419654072324949,-0.2214064372132798,-0.2112903782391252,-0.1991808354929246,-0.1728550879783103,0.0015519626659448,6,4
1955,BIC,255.13993063367425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4
1956,a,2.6335573007159687,0.2296938017324349,2.159773739289676,2.466203999567873,2.6570383770369963,2.819932550291708,2.9845117741641904,0.0127735165869337,10,2
1957,z,0.5568185541832422,0.0219436973851229,0.5138421581297845,0.5418455113989168,0.5570992489945533,0.5714527003300132,0.5996692278119895,0.0005286914367063,10,2
1958,t,0.6083385286989008,0.0750115663503687,0.4655786454045207,0.5545686237406231,0.6064180894797742,0.6608295368111768,0.7520451500293397,0.0039231279076711,10,2
1959,theta,0.5988044017151739,0.0588787201287092,0.4730137415450544,0.5610658644519367,0.6070716557734199,0.6433549501499343,0.6884878787954228,0.0030327473503213,10,2
1960,v_gain,0.1648146667950457,0.0128309871548929,0.1393509422812923,0.1561733964121336,0.1645516765600734,0.1735000201894223,0.1898681300426576,0.0006464287167334,10,2
1961,v_loss,-0.1643278607492967,0.0126990378000761,-0.189676267793609,-0.173006619535501,-0.1641006646422192,-0.1556315640337883,-0.1397110359101008,0.0006505405203327,10,2
1962,BIC,601.482116517256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2
1963,a,2.342138556069155,0.2697884191306607,1.8697410664662055,2.1448707763037307,2.3228825245287883,2.5206185849650917,2.9160967495633088,0.0182317139930697,108,2
1964,z,0.5056851163728046,0.0220554578448258,0.4627831493064863,0.4908809381763038,0.5056530958493811,0.5206622756816509,0.5481368403976624,0.0006314670267293,108,2
1965,t,0.4790337664466011,0.0821998761647379,0.3099133997761972,0.4228317543609817,0.486190251396342,0.5391967953436904,0.6220621532573243,0.0051685047210531,108,2
1966,theta,0.5596133350965917,0.0758547488604024,0.4105884176059586,0.508223263683666,0.5602502328810974,0.6118379849391058,0.7039908323689369,0.0048661733636388,108,2
1967,v_gain,0.1718345017114531,0.0113055464784393,0.1491817295710552,0.1640961945515285,0.1721507308269964,0.1799963487410343,0.1925909503593569,0.0004745940874667,108,2
1968,v_loss,-0.1784499140757303,0.0104584720615473,-0.1952270093694795,-0.1866302609292411,-0.17910398388419,-0.171403893355485,-0.1564213919808772,0.0004264756432049,108,2
1969,BIC,568.2578351772006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,2
1970,a,2.124073221364518,0.1967413838724244,1.7994565519267232,1.983764843867394,2.103595721021698,2.237852446182134,2.593702020357762,0.0122399139222517,57,2
1971,z,0.5793444389825927,0.0240753639832382,0.5326825115857903,0.5632479622042339,0.57935256665717,0.5959437177953534,0.6264084522165816,0.0006216423229562,57,2
